Year,Goals Scored,Qualified Teams,Matches Played,Host Country,Winner,Runners-Up,Third,Fourth
1930,70,13,18,Uruguay,Uruguay,Argentina,USA,Yugoslavia
1934,70,16,17,Italy,Italy,Czechoslovakia,Germany,Austria
1938,84,15,18,France,Italy,Hungary,Brazil,Sweden
1950,88,13,22,Brazil,Uruguay,Brazil,Sweden,Spain
1954,140,16,26,Switzerland,Germany FR,Hungary,Austria,Uruguay
1958,126,16,35,Sweden,Brazil,Sweden,France,Germany FR
1962,89,16,32,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia
1966,89,16,32,England,England,Germany FR,Portugal,Soviet Union
1970,95,16,32,Mexico,Brazil,Italy,Germany FR,Uruguay
1974,97,16,38,Germany,Germany FR,Netherlands,Poland,Brazil
1978,102,16,38,Argentina,Argentina,Netherlands,Brazil,Italy
1982,146,24,52,Spain,Italy,Germany FR,Poland,France
1986,132,24,52,Mexico,Argentina,Germany FR,France,Belgium
1990,115,24,52,Italy,Germany FR,Argentina,Italy,England
1994,141,24,52,USA,Brazil,Italy,Sweden,Bulgaria
1998,171,32,64,France,France,Brazil,Croatia,Netherlands
2002,161,32,64,Korea/Japan,Brazil,Germany,Turkey,Korea Republic
2006,147,32,64,Germany,Italy,France,Germany,Portugal
2010,145,32,64,South Africa,Spain,Netherlands,Germany,Uruguay
2014,171,32,64,Brazil,Germany,Argentina,Netherlands,Brazil
2018,169,32,64,Russia,France,Croatia,Belgium,England
2022,,32,64,Qatar,,,,